.RUT (CBOE),776.99,+1.12,
Jan 08 2007 @ 21:29 ET (Data 15 Minutes Delayed),
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
07 Jan 500.0 (RUW AZ),284.10,pc,276.10,277.20,0,10,07 Jan 500.0 (RUW MZ),0.10,pc,0,0.15,0,200,
07 Jan 500.0 (RUW AZ-E),0,pc,276.10,277.20,0,10,07 Jan 500.0 (RUW MZ-E),0,pc,0,0.15,0,200,
07 Jan 500.0 (RUW AZ-A),284.10,pc,276.00,277.30,0,10,07 Jan 500.0 (RUW MZ-A),0,pc,0,0.15,0,200,
07 Jan 500.0 (RUW AZ-B),0,pc,276.00,277.30,0,10,07 Jan 500.0 (RUW MZ-B),0,pc,0,0.20,0,200,
07 Jan 500.0 (RUW AZ-8),0,pc,276.10,277.20,0,10,07 Jan 500.0 (RUW MZ-8),0.10,pc,0,0.15,0,200,
07 Jan 510.0 (RUW AB),0,pc,266.10,267.20,0,0,07 Jan 510.0 (RUW MB),0,pc,0,0.15,0,0,
07 Jan 510.0 (RUW AB-E),0,pc,266.10,267.20,0,0,07 Jan 510.0 (RUW MB-E),0,pc,0,0.15,0,0,
07 Jan 510.0 (RUW AB-A),0,pc,266.00,267.30,0,0,07 Jan 510.0 (RUW MB-A),0,pc,0,0.15,0,0,
07 Jan 510.0 (RUW AB-B),0,pc,266.00,267.30,0,0,07 Jan 510.0 (RUW MB-B),0,pc,0,0.20,0,0,
07 Jan 510.0 (RUW AB-8),0,pc,266.10,267.20,0,0,07 Jan 510.0 (RUW MB-8),0,pc,0,0.15,0,0,
07 Jan 520.0 (RUW AD),269.80,pc,256.10,257.20,0,27,07 Jan 520.0 (RUW MD),0,pc,0,0.15,0,0,
07 Jan 520.0 (RUW AD-E),269.80,pc,256.10,257.20,0,27,07 Jan 520.0 (RUW MD-E),0,pc,0,0.15,0,0,
07 Jan 520.0 (RUW AD-A),0,pc,256.00,257.30,0,27,07 Jan 520.0 (RUW MD-A),0,pc,0,0.15,0,0,
07 Jan 520.0 (RUW AD-B),0,pc,256.00,257.30,0,27,07 Jan 520.0 (RUW MD-B),0,pc,0,0.20,0,0,
07 Jan 520.0 (RUW AD-8),242.00,pc,256.10,257.20,0,27,07 Jan 520.0 (RUW MD-8),0,pc,0,0.15,0,0,
07 Jan 530.0 (RUW AF),254.00,pc,246.00,247.30,0,36,07 Jan 530.0 (RUW MF),0,pc,0,0.20,0,0,
07 Jan 530.0 (RUW AF-E),0,pc,0,0,0,36,07 Jan 530.0 (RUW MF-E),0,pc,0,0,0,0,
07 Jan 530.0 (RUW AF-A),0,pc,246.00,247.30,0,36,07 Jan 530.0 (RUW MF-A),0,pc,0,0.20,0,0,
07 Jan 530.0 (RUW AF-B),0,pc,245.90,247.40,0,36,07 Jan 530.0 (RUW MF-B),0,pc,0,0.25,0,0,
07 Jan 530.0 (RUW AF-8),254.00,pc,246.00,247.30,0,36,07 Jan 530.0 (RUW MF-8),0,pc,0,0.20,0,0,
07 Jan 540.0 (RUW AH),236.10,-7.90,236.10,237.30,42,26,07 Jan 540.0 (RUW MH),0.15,pc,0,0.15,0,250,
07 Jan 540.0 (RUW AH-E),0,pc,236.10,237.30,0,26,07 Jan 540.0 (RUW MH-E),0,pc,0,0.15,0,250,
07 Jan 540.0 (RUW AH-A),0,pc,236.00,237.30,0,26,07 Jan 540.0 (RUW MH-A),0,pc,0,0.15,0,250,
07 Jan 540.0 (RUW AH-B),0,pc,236.00,237.40,0,26,07 Jan 540.0 (RUW MH-B),0,pc,0,0.20,0,250,
07 Jan 540.0 (RUW AH-8),236.10,-7.90,236.10,237.30,42,26,07 Jan 540.0 (RUW MH-8),0.15,pc,0,0.15,0,250,
07 Jan 550.0 (RUW AJ),234.00,pc,226.20,227.30,0,47,07 Jan 550.0 (RUW MJ),0.20,pc,0,0.15,0,691,
07 Jan 550.0 (RUW AJ-E),0,pc,226.20,227.30,0,47,07 Jan 550.0 (RUW MJ-E),0,pc,0,0.15,0,691,
07 Jan 550.0 (RUW AJ-A),0,pc,226.10,227.40,0,47,07 Jan 550.0 (RUW MJ-A),2.15,pc,0,0.15,0,691,
07 Jan 550.0 (RUW AJ-B),0,pc,226.10,227.40,0,47,07 Jan 550.0 (RUW MJ-B),0,pc,0,0.20,0,691,
07 Jan 550.0 (RUW AJ-8),234.00,pc,226.20,227.30,0,47,07 Jan 550.0 (RUW MJ-8),0.20,pc,0,0.15,0,691,
07 Jan 560.0 (RUW AL),0,pc,216.20,217.30,0,0,07 Jan 560.0 (RUW ML),0.25,pc,0,0.15,0,177,
07 Jan 560.0 (RUW AL-E),0,pc,216.20,217.30,0,0,07 Jan 560.0 (RUW ML-E),0,pc,0,0.15,0,177,
07 Jan 560.0 (RUW AL-A),0,pc,216.10,217.40,0,0,07 Jan 560.0 (RUW ML-A),3.30,pc,0,0.15,0,177,
07 Jan 560.0 (RUW AL-B),0,pc,216.10,217.40,0,0,07 Jan 560.0 (RUW ML-B),0,pc,0,0.20,0,177,
07 Jan 560.0 (RUW AL-8),0,pc,216.20,217.30,0,0,07 Jan 560.0 (RUW ML-8),0.25,pc,0,0.15,0,177,
07 Jan 570.0 (RUW AN),214.10,pc,206.20,207.40,0,12,07 Jan 570.0 (RUW MN),0.20,pc,0,0.15,0,273,
07 Jan 570.0 (RUW AN-E),0,pc,206.20,207.40,0,12,07 Jan 570.0 (RUW MN-E),0.20,pc,0,0.15,0,273,
07 Jan 570.0 (RUW AN-A),0,pc,206.10,207.40,0,12,07 Jan 570.0 (RUW MN-A),0.95,pc,0,0.15,0,273,
07 Jan 570.0 (RUW AN-B),0,pc,206.10,207.50,0,12,07 Jan 570.0 (RUW MN-B),0,pc,0,0.20,0,273,
07 Jan 570.0 (RUW AN-8),214.10,pc,206.20,207.40,0,12,07 Jan 570.0 (RUW MN-8),1.00,pc,0,0.15,0,273,
07 Jan 580.0 (RUW AP),0,pc,196.20,197.30,0,0,07 Jan 580.0 (RUW MP),1.05,pc,0,0.15,0,197,
07 Jan 580.0 (RUW AP-E),0,pc,196.20,197.30,0,0,07 Jan 580.0 (RUW MP-E),0,pc,0,0.15,0,197,
07 Jan 580.0 (RUW AP-A),0,pc,196.10,197.40,0,0,07 Jan 580.0 (RUW MP-A),1.20,pc,0,0.15,0,197,
07 Jan 580.0 (RUW AP-B),0,pc,196.10,197.40,0,0,07 Jan 580.0 (RUW MP-B),0,pc,0,0.20,0,197,
07 Jan 580.0 (RUW AP-8),0,pc,196.20,197.30,0,0,07 Jan 580.0 (RUW MP-8),1.05,pc,0,0.15,0,197,
07 Jan 590.0 (RUW AR),194.20,pc,186.20,187.30,0,12,07 Jan 590.0 (RUW MR),0.30,pc,0,0.15,0,147,
07 Jan 590.0 (RUW AR-E),0,pc,186.20,187.30,0,12,07 Jan 590.0 (RUW MR-E),0,pc,0,0.15,0,147,
07 Jan 590.0 (RUW AR-A),0,pc,186.10,187.40,0,12,07 Jan 590.0 (RUW MR-A),4.50,pc,0,0.15,0,147,
07 Jan 590.0 (RUW AR-B),0,pc,186.10,187.40,0,12,07 Jan 590.0 (RUW MR-B),0,pc,0,0.20,0,147,
07 Jan 590.0 (RUW AR-8),194.20,pc,186.20,187.30,0,12,07 Jan 590.0 (RUW MR-8),0.30,pc,0,0.15,0,147,
07 Jan 600.0 (RUW AT),0,pc,176.20,177.30,0,0,07 Jan 600.0 (RUW MT),4.80,pc,0,0.15,0,33,
07 Jan 600.0 (RUW AT-E),0,pc,176.20,177.30,0,0,07 Jan 600.0 (RUW MT-E),4.80,pc,0,0.15,0,33,
07 Jan 600.0 (RUW AT-A),0,pc,176.20,177.40,0,0,07 Jan 600.0 (RUW MT-A),6.80,pc,0,0.15,0,33,
07 Jan 600.0 (RUW AT-B),0,pc,176.10,177.40,0,0,07 Jan 600.0 (RUW MT-B),0,pc,0,0.20,0,33,
07 Jan 600.0 (RUW AT-8),0,pc,176.20,177.30,0,0,07 Jan 600.0 (RUW MT-8),0,pc,0,0.15,0,33,
07 Jan 610.0 (RUY AB),162.30,pc,166.30,167.40,0,10,07 Jan 610.0 (RUY MB),3.40,pc,0,0.15,0,12,
07 Jan 610.0 (RUY AB-E),0,pc,166.30,167.40,0,10,07 Jan 610.0 (RUY MB-E),0,pc,0,0.15,0,12,
07 Jan 610.0 (RUY AB-A),0,pc,166.20,167.50,0,10,07 Jan 610.0 (RUY MB-A),3.40,pc,0,0.15,0,12,
07 Jan 610.0 (RUY AB-B),0,pc,166.20,167.50,0,10,07 Jan 610.0 (RUY MB-B),0,pc,0,0.20,0,12,
07 Jan 610.0 (RUY AB-8),162.30,pc,166.30,167.40,0,10,07 Jan 610.0 (RUY MB-8),0,pc,0,0.15,0,12,
07 Jan 620.0 (RUY AD),156.30,pc,156.30,157.40,0,29,07 Jan 620.0 (RUY MD),0.10,pc,0,0.15,0,1440,
07 Jan 620.0 (RUY AD-E),156.30,pc,156.30,157.40,0,29,07 Jan 620.0 (RUY MD-E),0.15,pc,0,0.15,0,1440,
07 Jan 620.0 (RUY AD-A),0,pc,156.20,157.50,0,29,07 Jan 620.0 (RUY MD-A),0.10,pc,0,0.15,0,1440,
07 Jan 620.0 (RUY AD-B),0,pc,156.20,157.50,0,29,07 Jan 620.0 (RUY MD-B),0,pc,0,0.20,0,1440,
07 Jan 620.0 (RUY AD-8),144.10,pc,156.30,157.40,0,29,07 Jan 620.0 (RUY MD-8),0.75,pc,0,0.15,0,1440,
07 Jan 630.0 (RUY AF),158.40,pc,146.30,147.40,0,21,07 Jan 630.0 (RUY MF),0.05,pc,0,0.15,0,127,
07 Jan 630.0 (RUY AF-E),158.40,pc,146.30,147.40,0,21,07 Jan 630.0 (RUY MF-E),0.35,pc,0,0.15,0,127,
07 Jan 630.0 (RUY AF-A),0,pc,146.20,147.50,0,21,07 Jan 630.0 (RUY MF-A),0.70,pc,0,0.15,0,127,
07 Jan 630.0 (RUY AF-B),0,pc,146.20,147.50,0,21,07 Jan 630.0 (RUY MF-B),0,pc,0,0.20,0,127,
07 Jan 630.0 (RUY AF-8),142.70,pc,146.30,147.40,0,21,07 Jan 630.0 (RUY MF-8),0.05,pc,0,0.15,0,127,
07 Jan 640.0 (RUY AH),153.00,pc,136.30,137.40,0,34,07 Jan 640.0 (RUY MH),0.15,pc,0,0.15,0,4325,
07 Jan 640.0 (RUY AH-E),153.00,pc,136.30,137.40,0,34,07 Jan 640.0 (RUY MH-E),0.25,pc,0,0.15,0,4325,
07 Jan 640.0 (RUY AH-A),0,pc,136.20,137.50,0,34,07 Jan 640.0 (RUY MH-A),0.50,pc,0,0.15,0,4325,
07 Jan 640.0 (RUY AH-B),0,pc,136.20,137.50,0,34,07 Jan 640.0 (RUY MH-B),0.40,pc,0,0.20,0,4325,
07 Jan 640.0 (RUY AH-8),152.50,pc,136.30,137.40,0,34,07 Jan 640.0 (RUY MH-8),0.15,pc,0,0.15,0,4325,
07 Jan 650.0 (RUY AJ),129.30,pc,126.30,127.40,0,50,07 Jan 650.0 (RUY MJ),0.15,pc,0,0.15,0,1415,
07 Jan 650.0 (RUY AJ-E),144.15,pc,126.30,127.40,0,50,07 Jan 650.0 (RUY MJ-E),0.05,pc,0,0.15,0,1415,
07 Jan 650.0 (RUY AJ-A),0,pc,126.20,127.50,0,50,07 Jan 650.0 (RUY MJ-A),0.05,pc,0,0.15,0,1415,
07 Jan 650.0 (RUY AJ-B),0,pc,126.20,127.50,0,50,07 Jan 650.0 (RUY MJ-B),0,pc,0,0.20,0,1415,
07 Jan 650.0 (RUY AJ-8),129.30,pc,126.30,127.40,0,50,07 Jan 650.0 (RUY MJ-8),0.15,pc,0,0.15,0,1415,
07 Jan 660.0 (RUY AL),119.65,pc,116.40,117.50,0,83,07 Jan 660.0 (RUY ML),0.10,pc,0,0.15,0,3331,
